Country,Year,EShockentry,complexity_HH,population,GDP_pc_PPP,ind_output_meur,Unemployment_rate,Current_account_balance_to_GDP,exp_to_gdp,Public_debt_to_GDP,Adjusted_wage_share,employm_indus,fdi_in_gdp,Private_sector_debt_to_GDP,Tax_Wealth,finance_share_GO,finance_share_VA,Capital_accumulation,GDP_growth,Gini_net,size_of_finance,FDI_assets_stock,FDI_liabilities_stock,kof_econ,HBOOM,GDP_pc_ppp_new,indus_output_new
BEL,1960,0,,9140.563,,,2.2,0.1789767,37.80069166,,61.6530174,,,,,,,7.866226368,,,,,,,,,
BEL,1961,0,,9200.393,,,1.8,0.1516809,39.01317472,,60.8924533,,,,,,,8.596771781,4.974003124,,,,,,,,
BEL,1962,0,,9261.828,,,1.7,0.9301387,40.57309132,,61.9396945,,,,,,,8.824476311,5.181516287,,,,,,,,
BEL,1963,0,,9323.467,,,1.5,-0.1758641,41.71253903,,62.3521445,,,,,,,8.594094306,4.404032205,,,,,,,,
BEL,1964,0,1.88107,9383.443,,,1.4,0.4844746,42.4975544,,61.588529,,,,,,,9.498791399,6.947636197,,,,,,,,
BEL,1965,0,1.89202,9440.279,,,1.6,0.9825229,41.983271,,61.6487714,,,,0,,,9.526488033,3.586099255,,,,,,,,
BEL,1966,0,1.74293,9493.656,,,1.7,0.2014101,43.66610549,,62.9917184,,,,0,,,9.778603024,3.107017385,,,,,,,,
BEL,1967,0,1.76546,9543.533,,,2.4,1.2736034,42.68673241,,63.3202635,,,,0,,,9.674252414,3.868771072,,,,,,,,
BEL,1968,0,1.72276,9589.107,,,2.8,1.3766264,44.86690932,,62.5208868,,,,0,,,9.235842517,4.172287965,,,,,,,,
BEL,1969,0,1.7114,9629.528,,,2.2,1.6635947,48.8002812,,61.9346478,,,,0,,,9.400981336,6.62316338,,,,,,,,
BEL,1970,0,1.72262,9664.32,,,1.8,2.929675,44.48744947,,61.5317543,42.15999985,,,0,,,9.812682891,6.191939049,,,1200.855321,1129.773502,74.13,2.044883104,,
BEL,1971,0,1.57082,9692.9,,,1.7,2.5240521,43.31103474,,63.8060765,41.86000061,,,0,,,9.296884223,3.753046746,,,1514.747958,1766.265615,73.89,1.986777786,,
BEL,1972,0,1.56955,9715.673,,,2.2,4.063962,43.67699305,,64.8638031,41.11000061,,,0,,,9.308448132,5.255646025,,,1609.779674,2026.648753,73.77,1.680909111,,
BEL,1973,0,1.61194,9734.412,,,2.2,2.8918353,47.53104136,,65.3033117,40.88000107,,,0,,,9.608314802,6.122338287,,,1994.226162,2648.675136,74.86,1.534253244,,
BEL,1974,0,1.52057,9751.592,,,2.3,1.1465752,52.34175865,,67.5828369,40.59999847,,,0,,,9.881593904,4.199631418,,,2920.065456,3784.23493,75.83,1.606163314,,
BEL,1975,0,1.54701,9769.006,,,4.2,0.0195121,45.43720044,,69.4976472,39.31000137,,,0,,,9.341471701,-1.327012775,,,2863.910351,4060.53037,74.62,1.722724815,,
BEL,1976,0,1.03833,9787.576,,,5.5,0.722633,48.04803174,,70.5306126,38.33000183,,,0,,,9.350412948,5.652728401,,,3481.616505,5428.988414,75.26,1.846114642,,
BEL,1977,0,1.36634,9806.885,,,6.3,-1.1700239,47.01182032,,70.9007764,37.36999893,,,0,,,9.042317442,0.626150236,,,4326.822828,6989.840665,75.14,1.930857884,,
BEL,1978,0,1.3669,9825.779,,,6.8,-1.1251272,45.28441839,,70.9744742,36.06000137,,,0,,,8.989440611,2.841902448,,,5684.624467,9534.362547,75.06,1.82389461,,
BEL,1979,0,1.54064,9842.453,,,7,-2.8707648,49.4018212,,70.6816247,35.02999878,,,0,,,8.49262995,2.341114577,23.23059654,,7094.261588,10862.31655,75.91,1.797670703,,
BEL,1980,0,1.49432,9855.747,,,7.4,-4.0266586,49.5946311,,71.8464438,34.31000137,,,0.009,,,8.675853326,4.444039338,,,6819.245562,10792.88104,76.03,1.584256372,,
BEL,1981,0,1.46699,9865.512,,,9.4,-3.2431615,53.49971959,,72.1010929,32.84999847,,,0.009,,,7.196882125,-0.279266242,,,6292.2515,10088.4,78.12,0.960465893,,
BEL,1982,0,1.42816,9872.709,,,11,-3.209704,57.49737998,,70.926613,31.78000069,,,0.067,,,6.812388506,0.5949556,,,5498.7212,11125.32,79.7,0.415329194,,
BEL,1983,0,1.47927,9878.636,,,10.7,-0.893362,59.76578954,,70.2328657,33.47999954,,,0.059,,,6.392754437,0.311875086,25.45034218,,6110.7119,12311.29,81.32,-0.06035341,,
BEL,1984,0,1.5538,9885.088,,,10.8,-0.4910683,63.74062668,,69.438737,32.59999847,,,0.062,,,6.478530562,2.466351372,,,6071.6553,12032.34,82.42,-0.450683353,,
BEL,1985,0,1.6462,9893.499,,,10.1,0.3862714,61.80302113,,68.8957666,31.86000061,,,0.062,,,6.687457698,1.651821954,23.00235748,,9551.2314,18447.18,84.64,-0.504158495,,
BEL,1986,0,1.66718,9903.895,,,10,1.8498786,56.68567226,,68.4550408,31.98999977,,,0.065,,,6.804331199,1.822761664,23.04395866,,15194.259,27394.211,84.66,-0.510546298,,
BEL,1987,0,1.62745,9916.261,,,9.8,1.7435774,55.28514503,,68.1880706,31.61000061,,,0.064,,,7.032481479,2.306656967,23.08556175,,19606.365,30646.26,84.37,-0.522753508,,
BEL,1988,0,1.69374,9931.873,,,8.8,2.3173307,58.78854504,,66.3102527,31.36000061,,,0.055,,,7.956197651,4.723207477,23.12716293,,24902.932,39309.141,85.52,-0.409123972,,
BEL,1989,0,1.65056,9952.253,,,7.4,1.9098935,62.90384182,,65.9682962,31.42000008,,,0.06,,,8.608504244,3.469170295,23.11032486,,34675.613,52824.379,87.29,-0.227456252,,
BEL,1990,0,1.74372,9978.241,,,6.6,1.4778898,60.97115121,,67.0443932,30.70000076,,,0.058,,,9.010872952,3.137383416,23.09348679,,40635.844,58387.801,86.84,-0.077867024,30647.8213478709,
BEL,1991,0,1.90119,10011.217,,,6.4,2.0208041,59.60154898,,68.8545626,30.51000023,,,0.051,,,8.388544021,1.833085043,22.68437958,,48385.035,70163.102,87.36,0.059581575,31093.8610724912,
BEL,1992,0,1.826,10050.405,,,7.1,2.6918732,58.19564058,,69.0898526,30.62000084,,,0.048,,,8.250439526,1.530639346,22.27527046,,55635.926,75678.117,87.28,0.172191129,31441.977285362,
BEL,1993,0,1.82785,10091.889,,,8.6,4.4021895,55.52262062,,69.9705757,29.45999908,,,0.099,,,7.861158338,-0.96187085,23.8082695,,62641.926,94295.211,87.72,0.159127888,31018.1395921895,
BEL,1994,0,1.68427,10130.251,,,9.8,5.565525,57.81567331,,69.3804041,28.87999916,,,0.112,,,7.72619082,3.226992982,25.34126663,,69540.633,105881.43,88.12,0.211106686,31920.5561312755,
BEL,1995,0,1.61256,10161.914,19000,153462.6,9.7,4.517286,59.48746787,130.5447,68.5160412,28.25,,149.93,0.095,0.028309232,0.03692344,7.821920316,2.384728639,26.99288177,2.8309232,80690.023,112959.88,88.2,0.297274444,32613.4078364629,436675.9
